"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer Part Number"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D13","11","LED_Red","","","","LED_SMD:LED_0805_2012Metric","https://www.mouser.com/catalog/specsheets/APT2012SECK-J3-PRV.PDF?_gl=1*h4eo3w*_gcl_aw*R0NMLjE3NzUxNzQ5MTguQ2owS0NRandwN2pPQmhER0FSSXNBQmU3QzRmUXV2LWJrUV9CU1BfcG5FaExka0w2T0p1MnR2azRNYlgtejA2SmEwMngzMWRtaVQwTzAzOGFBakVRRUFMd193Y0I.*_gcl_au*MTk5MDcwNzUyMC4xNzc1MTc0OTEzLjc1NTE4NDIwNy4xNzc1MTc0OTQ4LjE3NzUxNzUwOTM.*_ga*OTA4MDE3MDU0LjE3NzUxNzQ5MTM.*_ga_15W4STQT4T*czE3NzUxNzQ5MTMkbzEkZzEkdDE3NzUxNzUyODckajM0JGwwJGgw","APT2012SECK/J3-PRV"
"F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11","11","3557-2","","","","Kicad_Libraries:FUSE_3557-2","https://www.keyelco.com/userAssets/file/K75p47.pdf","3557-2"
"J1","1","Conn_Supply_A","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J2","1","Conn_Supply_B","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J3","1","Conn_Supply_C","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J4","1","Conn_Supply_D","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J5","1","Conn_Supply_E","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J6","1","Conn_Supply_F","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J7","1","Conn_Supply_G","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J8","1","Conn_Supply_H","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J9","1","Conn_Supply_I","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J10","1","Conn_Supply_J","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/eXA1.pdf","B2B-XH-A"
"J12","1","Conn_01x02","","","","Kicad_Libraries:Phoenix_1x2_1729128","https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkdsn-15-2-508-1729128?type=pdf","1729128"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R13","11","10k","","","","Resistor_SMD:R_0805_2012Metric","https://yageogroup.com/content/datasheet/asset/file/PYU-RT_1-TO-0-01_ROHS_L","RT0805FRE1010KL"
